ID,Crime Head,Cases Pending Investigation From Previous Year,Cases Reported During The Year,Cases Reopened For Investigation,Total Cases For Investigation,Cases Not Investigated Under 157_1_B Crpc,Cases Transferred To Other State Or Agency,Cases Withdrawn By The Govt During Investigation,Final Report - Cases Ended As Fr Non Cognizable,Final Report - Cases Ended As Final Report False,Final Report - Cases Ended As Mistake Of Fact Or Of Law Or Civil Dispute,Final Report - Cases True But Insufficient Evidence Or Untraced Or No Clue,Final Report - Cases Abated During Investigation,Final Report,Charge Sheets Submitted Prev. Year,Charge Sheets Submitted The Year,Charge Sheets Submitted - Cases Charge Sheeted,Total Cases Disposed Off By Police,Cases Quashed At Investigation Stage,Cases Stayed At Investigation Stage,Cases Pending Invsgn.At End Of The Year,Chargesheeting Rate,Pendency Percentage
30,In Public Transport System,169,730,4,903,0,3,0,1,11,9,38,1,60,103,526,629,692,0,0,211,90.9,23.4
31,In Shelter Homes For Women And Children,165,707,2,874,0,0,0,0,27,1,23,0,51,96,512,608,659,0,0,215,92.3,24.6
32,Other Places,6444,19124,0,25568,2,6,2,34,949,436,1226,18,2663,3555,12977,16532,19203,22,3,6341,86.1,24.8
33,Assault Or Use Of Criminal Force On Women With Intent To Disrobe,3403,9949,0,13352,0,2,0,9,546,268,648,1,1472,1990,6246,8236,9710,12,3,3630,84.8,27.2
34,Voyeurism,531,1393,0,1924,0,1,0,2,57,34,101,1,195,302,854,1156,1352,0,0,572,85.5,29.7
35,Stalking,3505,9438,4,12947,0,1,0,7,323,172,437,6,945,1958,5975,7933,8879,7,1,4061,89.3,31.4
36,Missing Children Deemed As Kidnapped,9681,23826,1,33508,0,23,33,32,4372,8625,3587,84,16700,911,3828,4739,21462,7,0,12006,22.1,35.8
37,Other Kidnapping & Abduction,18046,31022,51,49119,5,34,0,61,3065,8537,6537,284,18484,3456,7091,10547,29070,27,25,20022,36.3,40.8
38,Kidnapping And Abduction For The Purpose Of Begging,49,71,0,120,0,0,0,14,13,6,3,0,36,9,48,57,93,0,0,27,61.3,22.5
39,Kidnapping And Abduction In Order To Murder,888,1301,1,2190,0,3,0,1,86,114,527,3,731,315,281,596,1330,2,0,858,44.8,39.2
40,Kidnapping For Ransom,560,593,0,1153,0,5,0,0,35,47,75,6,163,152,273,425,593,5,0,555,71.7,48.1
41,Kidnapping And Abduction Of Women To Compel Her For Marriage,22015,33354,12,55381,0,6,0,97,3323,6879,6910,150,17359,4761,10676,15437,32802,19,48,22560,47.1,40.7
42,Procuration Of Minor Girls,2526,3039,21,5586,0,4,0,4,684,369,371,36,1464,622,1003,1625,3093,0,0,2493,52.5,44.6
43,Importation Of Girls From Foreign Country,8,4,0,12,0,0,0,0,1,0,0,0,1,0,1,1,2,0,0,10,50,83.3
44,Other Kidnapping & Abduction,10194,12524,3,22721,0,10,3,58,2927,2945,2174,135,8239,1894,3587,5481,13730,18,2,8970,39.9,39.5
45,Human Trafficking,877,1313,17,2207,0,3,0,1,24,62,57,3,147,333,672,1005,1155,1,0,1051,87,47.6
46,Exploitation Of Trafficked Person,113,190,0,303,0,0,0,0,1,4,4,0,9,57,109,166,175,0,0,128,94.9,42.2
47,Selling Of Minors For Prostitution,121,42,0,163,0,0,0,0,0,5,6,0,11,11,27,38,49,0,0,114,77.6,69.9
48,Buying Of Minors For Prostitution,24,8,0,32,0,0,0,0,0,0,1,0,1,0,2,2,3,0,0,29,66.7,90.6
49,Rape,13762,33356,21,47139,1,71,3,31,2875,767,1093,75,4841,7054,21415,28469,33382,59,51,13695,85.3,29.1
50,Attempt To Commit Rape,1722,4097,2,5821,0,2,0,6,493,147,274,12,932,771,2345,3116,4050,0,9,1771,76.9,30.4
51,Unnatural Offences,555,1378,1,1934,0,1,0,1,84,16,92,1,194,272,853,1125,1320,3,26,611,85.2,31.6
52,Sedition,119,70,1,190,0,0,0,0,2,0,15,0,17,11,27,38,55,0,3,135,69.1,71.1
53,Others,521,79,0,600,0,3,6,0,4,1,33,0,38,19,9,28,69,0,0,525,40.6,87.5
54,Unlawful Assembly,5782,10133,2,15917,0,1,13,155,443,568,896,4,2066,1989,5727,7716,9783,9,9,6112,78.9,38.4
55,Communal/Religious,625,512,0,1137,0,0,0,2,6,8,25,0,41,328,284,612,653,3,0,481,93.7,42.3
56,Sectarian,193,209,0,402,0,0,0,0,2,11,16,0,29,66,105,171,200,0,0,202,85.5,50.2
57,Industrial,113,440,0,553,0,202,0,0,13,4,17,0,34,69,115,184,420,0,0,133,43.8,24.1
58,Political,1101,1495,0,2596,0,0,0,4,32,34,199,3,272,575,890,1465,1737,1,0,858,84.3,33.1
59,Caste Conflict,674,656,0,1330,0,0,0,4,11,17,57,0,89,314,422,736,825,7,6,498,89.2,37.4
60,Agrarian,1573,2008,0,3581,0,0,0,6,52,55,56,0,169,728,1070,1798,1967,4,0,1610,91.4,45
61,Students,303,507,1,811,0,1,0,1,10,6,50,0,67,149,300,449,517,1,1,293,86.8,36.1
62,Money Dispute,0,4,0,4,0,0,0,0,1,0,0,0,1,0,3,3,4,0,0,0,75,NA
63,Water Dispute,505,1439,0,1944,0,0,0,8,43,78,76,1,206,229,803,1032,1238,0,0,706,83.4,36.3
64,Land/Property Dispute,166,838,0,1004,0,0,0,4,21,24,24,0,73,96,486,582,655,0,0,349,88.9,34.8
65,Family Disputes,6717,12490,2,19209,0,1,0,106,320,569,353,2,1350,3864,7134,10998,12349,5,5,6855,89.1,35.7
66,Enmity/Rivalry,1624,4589,0,6213,0,0,0,7,113,129,135,2,386,891,2547,3438,3824,1,1,2388,89.9,38.4
67,Electricity/Power Supply Disputes,1890,4939,0,6829,0,2,0,5,153,83,98,3,342,1251,2861,4112,4456,11,3,2362,92.3,34.6
68,Rioting While In Aandolan/Morcha,19,76,0,95,0,0,0,0,1,0,9,0,10,18,43,61,71,0,0,24,85.9,25.3
69,Rioting/Attacks On Police Personnel Or Govt Servants,847,1908,1,2756,0,1,0,0,23,22,120,6,171,387,1370,1757,1929,3,1,824,91.1,29.9
70,Other Riots,2046,1440,6,3492,0,5,0,0,17,4,312,0,333,597,650,1247,1585,0,2,1907,78.7,54.6
71,Promoting Enmity Between Groups,15562,24278,3,39843,0,3,2,141,774,1553,2296,92,4856,7143,14687,21830,26689,35,17,13117,81.8,32.9
72,"Imputation, Assertions Prejudicial To National Integration",773,1076,1,1850,1,8,0,0,40,68,155,5,268,245,342,587,864,4,0,982,67.9,53.1
73,Affray,36,38,0,74,0,0,0,0,0,2,10,0,12,8,14,22,34,0,0,40,64.7,54.1
74,Auto/Motor Vehicle Theft,651,7776,0,8427,0,0,0,23,5,6,35,0,69,450,5174,5624,5693,0,2,2734,98.8,32.4
75,Other Thefts,83071,233727,321,317119,33,68,23,262,3846,7646,173899,472,186125,14639,36068,50707,236933,7,4,80156,21.4,25.3
76,Day Time,178323,391714,466,570503,105,1796,57,2816,4169,21006,289677,1303,318971,28308,69902,98210,419082,88,19,151276,23.43455457,26.5162497
77,Night,11329,15247,24,26600,2,3,1,15,404,312,9175,113,10019,2656,4376,7032,17056,4,8,9539,41.2,35.9
78,Extortion & Blackmailing,47772,84693,123,132588,12,12,7,45,1811,2544,50763,283,55446,10695,21451,32146,87616,3,15,44962,36.7,33.9
79,Robbery,5963,10736,1,16700,0,13,1,25,431,379,1953,31,2819,2057,5348,7405,10237,15,8,6447,72.3,38.6
80,Attempt To Commit Dacoity/Robbery,20648,30822,31,51501,0,95,1,77,562,573,8404,62,9678,7076,15470,22546,32319,50,22,19131,69.8,37.1
81,Dacoity,233,639,0,872,0,0,0,0,5,17,94,0,116,79,438,517,633,0,0,239,81.7,27.4
82,Dacoity With Murder,3713,3454,10,7177,0,12,3,21,103,50,523,23,720,1272,1599,2871,3603,24,27,3547,79.7,49.4
83,Making Preparation And Assembly For Committing Dacoity,38,38,0,76,0,0,0,0,0,0,4,0,4,9,30,39,43,0,0,33,90.7,43.4
84,Criminal Misappropriation,1680,3452,1,5133,0,1,0,0,3,25,41,0,69,1138,2263,3401,3471,0,0,1662,98,32.4
85,Criminal Breach Of Trust,98,244,0,342,0,1,0,0,17,43,17,0,77,54,92,146,224,1,0,117,65.2,34.2
86,Dishonestly Receiving/Dealing-In Stolen Property,22898,20456,2,43356,0,74,1,56,1074,1265,4963,210,7568,6523,6591,13114,20756,32,48,22567,63.2,52.1
87,Counterfeit Coin,1587,7150,0,8737,1,18,0,6,54,33,254,0,347,1037,5295,6332,6698,1,0,2038,94.5,23.3
88,Counterfeiting Government Stamp,775,8,0,783,0,0,0,0,0,0,3,0,3,6,5,11,14,0,0,769,78.6,98.2
89,Counterfeiting Of Seal Or Mark,4,7,0,11,0,0,0,0,0,0,2,0,2,1,5,6,8,0,0,3,75,27.3
90,Counterfeit Currency & Bank Notes,13,18,0,31,0,0,0,0,0,2,3,0,5,5,6,11,16,0,0,15,68.8,48.4
91,Bank,1743,1233,4,2980,0,31,0,16,26,41,442,4,529,370,441,811,1371,0,0,1609,59.2,54
92,Atms,1559,2152,1,3712,0,3,0,1,40,60,822,4,927,254,322,576,1506,1,0,2205,38.2,59.4
93,Credit Card/Debit Card,2598,3028,0,5626,0,1,0,2,47,85,1676,2,1812,371,666,1037,2850,1,0,2775,36.4,49.3
94,Other Frauds,1292,1674,0,2966,0,2,1,6,10,65,873,0,954,133,259,392,1348,1,0,1616,29.1,54.5
95,Other Cheating,13845,14451,0,28296,0,51,0,22,1533,2383,3222,21,7181,3488,3057,6545,13777,24,30,14495,47.5,51.2
96,Other Forgery,97809,96652,63,194524,28,297,7,280,8096,11348,18781,373,38878,26565,24993,51558,90761,349,368,103407,56.8,53.2
97,Offences Relating To Elections,13084,16589,3,29676,2,31,3,109,1846,2224,2724,21,6924,4374,4438,8812,15769,37,54,13867,55.9,46.7
98,Disobedience To Order Duly Promulgated By Public Servant,303,1882,0,2185,0,6,0,0,82,41,140,2,265,205,1036,1241,1512,0,0,673,82.1,30.8
99,Harbouring An Offender,4883,22907,1,27791,0,0,5,1,104,373,902,41,1421,2489,16869,19358,20779,2,33,7005,93.2,25.2
100,Offences Relating To Adulteration Or Sale Of Food/Drugs,35,71,0,106,0,0,0,0,1,2,2,0,5,11,54,65,70,0,0,36,92.9,34
101,Rash Driving On Public Way,475,2176,0,2651,0,88,0,0,6,17,12,0,35,368,1335,1703,1826,1,0,824,93.3,31.1
102,Causing Hurt By Rash/Negligent Driving On Public Way,11692,168139,189,180020,0,2,0,105,241,661,5087,21,6115,8024,155639,163663,169780,2,15,10238,96.4,5.7
103,Causing Grievous Hurt By Rash/Negligent Driving On Public,51534,166954,3,218491,33,10,1,45,1476,2957,16551,221,21250,27832,114695,142527,163820,21,31,54649,87,25
104,Obstruction On Public Way,30679,108712,13,139404,11,11,0,5,964,951,8617,100,10637,19136,78372,97508,108167,14,21,31223,90.1,22.4
105,Sale Of Obscene Books/Objects,4753,99390,0,104143,0,0,0,0,64,26,97,2,189,3124,94352,97476,97665,5,0,6473,99.8,6.2
106,Obscene Acts And Songs At Public Places,79,490,0,569,0,1,0,0,2,3,15,0,20,25,410,435,456,0,0,113,95.4,19.9
107,Offences Relating To Religion,2893,24882,0,27775,0,1,0,30,219,355,297,1,902,1729,20941,22670,23573,0,3,4202,96.2,15.1
108,Cheating By Impersonation,1002,1942,1,2945,0,2,0,2,92,91,349,3,537,308,814,1122,1661,3,2,1281,67.5,43.5
109,Offences Related To Mischief,767,528,0,1295,0,1,0,1,50,17,256,0,324,79,207,286,611,0,0,684,46.8,52.8
110,Arson,857,2818,0,3675,0,0,0,10,134,161,536,4,845,385,1508,1893,2738,3,0,934,69.1,25.4
111,Criminal Trespass,7714,9252,1,16967,0,2,0,10,354,411,3136,29,3940,1764,4104,5868,9810,7,14,7150,59.8,42.1
112,Cruelty By Husband Or His Relatives,11839,40101,14,51954,0,3,0,123,3183,1931,3122,25,8384,5411,23831,29242,37629,40,61,14285,77.7,27.5
113,Circulate False/Fake News/Rumours,47288,103272,11,150571,2,154,16,170,4950,5743,6476,509,17848,23883,58954,82837,100841,339,159,49375,82.1,32.8
114,Criminal Intimidation,83,280,0,363,0,1,0,0,8,26,28,1,63,25,97,122,186,0,3,177,65.6,48.8
115,Insult To The Modesty Of Women,15540,94507,1,110048,2,30,6,96,2047,1691,6376,20,10230,9191,73807,82998,93260,64,85,16718,89,15.2
116,Other Ipc Crimes,4788,6992,1,11781,0,5,0,7,339,237,382,4,969,1923,4185,6108,7082,3,5,4696,86.2,39.9
,,119858,222429,40,342327,1,189,3,526,17187,17216,26748,2168,63845,37775,130791,168566,232601,93,93,109630,72.5,32
