ID,Crime Head,Cases Pending Investigation From Previous Year,Cases Reported During The Year,Cases Reopened For Investigation,Total Cases For Investigation,Cases Not Investigated Under 157_1_B Crpc,Cases Transferred To Other State Or Agency,Cases Withdrawn By The Govt During Investigation,Final Report - Cases Ended As Fr Non Cognizable,Final Report - Cases Ended As Final Report False,Final Report - Cases Ended As Mistake Of Fact Or Of Law Or Civil Dispute,Final Report - Cases True But Insufficient Evidence Or Untraced Or No Clue,Final Report - Cases Abated During Investigation,Final Report,Charge Sheets Submitted Prev. Year,Charge Sheets Submitted The Year,Charge Sheets Submitted - Cases Charge Sheeted,Total Cases Disposed Off By Police,Cases Quashed At Investigation Stage,Cases Stayed At Investigation Stage,Cases Pending Invsgn.At End Of The Year,Chargesheeting Rate,Pendency Percentage
1,Murder,20839,29017,35,49891,4,104,1,30,796,830,2773,250,4679,8679,16751,25430,30217,1,90,19672,84.2,39.4
2,Culpable Homicide Not Amounting To Murder,1745,3635,2,5382,0,6,0,8,99,109,380,30,626,943,2002,2945,3577,2,2,1803,82.3,33.5
3,Hit And Run,10129,47028,1,57158,0,2,1,47,342,1061,12484,474,14408,4427,25987,30414,44824,7,197,12326,67.9,21.6
4,Other Accidents,33185,88023,9,121217,5,54,1,26,569,1522,10215,4730,17062,19694,53091,72785,89906,19,109,31291,81,25.8
5,Deaths Due To Negligence Relating To Rail Accidents,67,35,0,102,0,0,0,0,0,0,16,0,16,0,3,3,19,0,0,83,15.8,81.4
6,Deaths Due To Medical Negligence,145,218,0,363,0,0,0,0,19,26,37,1,83,53,88,141,224,0,1,139,62.9,38.3
7,Deaths Due To Negligence Of Civic Bodies,50,40,0,90,0,0,0,0,6,2,11,0,19,11,14,25,44,0,0,46,56.8,51.1
8,Deaths Due To Other Negligence,4960,8687,5,13652,0,2,0,99,267,243,1439,119,2167,1386,5197,6583,8752,1,2,4899,75.2,35.9
9,Dowry Deaths,3468,7166,3,10637,0,3,0,1,162,170,369,5,707,2049,4603,6652,7362,2,1,3273,90.4,30.8
10,Abetment Of Suicide,4282,8324,16,12622,0,20,3,1,499,166,365,25,1056,2327,4452,6779,7855,19,20,4745,86.3,37.6
11,Attempt To Commit Murder,27399,51489,4,78892,1,48,7,191,1059,754,2269,107,4380,14264,33190,47454,51883,69,58,26933,91.5,34.1
12,Attempt To Commit Culpable Homicide,3579,7987,0,11566,0,0,2,4,104,79,409,3,599,2250,5276,7526,8125,21,2,3418,92.6,29.6
13,Attempt To Commit Suicide,846,2075,3,2924,0,0,0,5,118,80,97,32,332,449,1122,1571,1903,1,0,1020,82.6,34.9
14,"Miscarriage, Infanticide, Foeticide And Abandonment",687,1728,0,2415,0,3,0,5,61,52,1225,2,1345,99,265,364,1712,2,0,701,21.3,29
15,Voluntarily Causing Simple Hurt,56244,243845,4,300093,1,16,0,4265,6975,6949,9465,132,27786,37707,177581,215288,243091,66,85,56936,88.6,19
16,Voluntarily Causing Hurt By Dangerous Weapons Or Means,45809,157899,253,203961,1,19,3,1515,2683,2946,4111,100,11355,32375,107279,139654,151029,106,46,52823,92.5,25.9
17,Voluntarily Causing Hurt/Force To Deter Public Servant From His Duty,5237,18608,49,23894,1,9,1,22,453,300,686,9,1470,3437,12022,15459,16939,8,12,6946,91.3,29.1
18,Causing Hurt By Act Endangering Life/Safety Of Others,2408,14727,0,17135,0,0,1,23,308,153,1135,12,1631,1445,10823,12268,13899,2,0,3233,88.3,18.9
19,Other Simple Hurt,1933,10922,1,12856,0,20,0,31,181,483,1118,5,1818,1094,6690,7784,9622,4,4,3230,80.9,25.1
20,Voluntarily Causing Grievous Hurt,24900,56179,3,81082,0,3,1,517,781,1699,3820,413,7230,10880,41068,51948,59181,20,6,21880,87.8,27
21,Voluntarily Causing Grievous Hurt By Dangerous Weapons Or Means,11131,21087,37,32255,0,3,0,31,282,396,1885,68,2662,4764,13296,18060,20725,18,5,11512,87.1,35.7
22,Acid Attack,96,228,0,324,0,0,0,4,13,6,23,0,46,36,122,158,204,1,0,119,77.5,36.7
23,Attempt To Acid Attack,32,59,0,91,0,0,0,0,5,1,6,0,12,9,28,37,49,1,0,41,75.5,45.1
24,Voluntarily Causing Grievous Hurt/Force To Deter Public Servant From His Duty,800,1849,1,2650,0,1,0,0,36,14,191,1,242,406,1221,1627,1870,4,2,776,87,29.3
25,Causing Grievous Hurt By Act Endangering Life/Safety Of Others,1137,3531,6,4674,0,3,0,2,99,83,244,3,431,791,2274,3065,3499,1,1,1174,87.6,25.1
26,Other Grievous Hurt,711,1142,0,1853,0,0,0,0,75,18,507,0,600,130,481,611,1211,0,0,642,50.5,34.6
27,Wrongful Restraint/Confinement,5644,19303,1,24948,0,2,0,154,4701,587,1731,2,7175,2335,9411,11746,18923,1,2,6024,62.1,24.1
28,Assault On Women With Intent To Outrage Her Modesty,17682,47355,7,65044,1,22,2,90,3308,1513,2235,72,7218,9403,30295,39698,46939,42,31,18061,84.6,27.8
29,At Work Or Office Premises,245,401,0,646,0,0,0,0,36,17,13,0,66,78,231,309,375,0,1,271,82.4,42
