ID,Crime Head,Cases Pending Investigation From Previous Year,Cases Reported During The Year,Cases Reopened For Investigation,Total Cases For Investigation,Cases Not Investigated Under 157_1_B Crpc,Cases Transferred To Other State Or Agency,Cases Withdrawn By The Govt During Investigation,Final Report - Cases Ended As Fr Non Cognizable,Final Report - Cases Ended As Final Report False,Final Report - Cases Ended As Mistake Of Fact Or Of Law Or Civil Dispute,Final Report - Cases True But Insufficient Evidence Or Untraced Or No Clue,Final Report - Cases Abated During Investigation,Final Report,Charge Sheets Submitted Prev. Year,Charge Sheets Submitted The Year,Charge Sheets Submitted - Cases Charge Sheeted,Total Cases Disposed Off By Police,Cases Quashed At Investigation Stage,Cases Stayed At Investigation Stage,Cases Pending Invsgn.At End Of The Year,Chargesheeting Rate,Pendency Percentage
1,Murder,21023,29193,42,50258,4,70,0,18,834,636,2331,230,4049,7198,16817,24015,28138,2,3,22118,85.3,44
2,Culpable Homicide not amounting to Murder,1782,3512,4,5298,0,9,0,3,95,67,298,33,496,860,2120,2980,3485,2,6,1811,85.5,34.2
3,Hit and Run,13384,41196,82,54662,6,7,0,97,148,702,11368,446,12761,5455,22871,28326,41100,2,2,13560,68.9,24.8
4,Other Accidents,33815,78980,31,112826,13,17,0,47,709,1224,8643,4124,14747,16916,41575,58491,73268,303,218,39255,79.8,34.8
5,Deaths due to Negligence relating to Rail Accidents,99,52,0,151,0,0,0,0,0,0,14,2,16,0,21,21,37,0,0,114,56.8,75.5
6,Deaths due to Medical Negligence,155,133,1,289,0,0,0,0,14,39,26,7,86,36,25,61,147,1,0,141,41.5,48.8
7,Deaths due to Negligence of Civic Bodies,68,51,0,119,0,0,0,0,6,4,5,0,15,10,19,29,44,0,0,75,65.9,63
8,Deaths due to other Negligence,4999,6367,79,11445,0,3,0,33,252,218,937,153,1593,1595,3392,4987,6583,1,4,4861,75.8,42.5
9,Dowry Deaths,3452,6966,3,10421,0,7,0,10,218,170,250,6,654,1720,4389,6109,6770,0,0,3651,90.2,35
10,Abetment of Suicide,5173,8816,21,14010,2,19,2,2,556,214,327,32,1131,2309,4482,6791,7943,21,16,6044,85.5,43.1
11,Attempt to Commit Murder,29712,57831,24,87567,1,39,3,106,1109,1115,2061,70,4461,13656,33535,47191,51692,50,37,35822,91.3,40.9
12,Attempt to commit Culpable Homicide,3405,9196,2,12603,0,0,0,5,125,72,297,5,504,1662,6450,8112,8616,12,3,3975,94.2,31.5
13,Attempt to Commit Suicide,1027,1685,0,2712,0,0,0,5,157,61,88,7,318,375,655,1030,1348,0,0,1364,76.4,50.3
14,"Miscarriage, Infanticide, Foeticide and Abandonment",845,1634,2,2481,0,0,0,5,37,76,1055,6,1179,127,280,407,1586,0,1,895,25.7,36.1
15,Voluntarily Causing Simple Hurt,75742,282268,10,358020,1,11,0,2363,9414,13332,11858,396,37363,36487,189158,225645,263020,21,7,94979,85.8,26.5
16,Voluntarily causing hurt by Dangerous weapons or means,62049,172080,22,234151,0,15,8,906,3078,2556,4144,158,10842,36171,109633,145804,156661,75,17,77407,93.1,33.1
17,Voluntarily Causing hurt/Force to deter public servant from his duty,6830,15418,5,22253,0,3,0,36,450,213,396,21,1116,3677,9655,13332,14451,7,17,7795,92.3,35
18,Causing Hurt by act endangering life/safety of others,3370,11007,0,14377,0,1,0,7,332,152,1024,57,1572,1184,7635,8819,10392,3,3,3982,84.9,27.7
19,Other Simple Hurt,3181,7241,3,10425,0,2,4,25,104,269,464,25,887,1013,4953,5966,6855,4,6,3562,87,34.2
20,Voluntarily causing grievous hurt,23582,65976,23,89581,0,10,0,426,842,1757,3293,153,6471,9679,43564,53243,59724,10,4,29847,89.1,33.3
21,Voluntarily causing grievous hurt by dangerous weapons or means,10671,19307,35,30013,0,7,1,30,238,349,972,128,1717,4249,12152,16401,18125,16,2,11871,90.5,39.6
22,Acid Attack,121,182,0,303,0,0,0,0,11,2,14,1,28,51,118,169,197,0,0,106,85.8,35
23,Attempt to Acid Attack,49,60,0,109,0,0,0,0,2,0,4,0,6,12,30,42,48,1,0,60,87.5,55
24,Voluntarily Causing Grievous hurt/Force to deter public servant from his duty,818,1566,0,2384,0,0,0,1,27,11,141,4,184,405,966,1371,1555,1,1,828,88.2,34.7
25,Causing Grievous Hurt by act endangering life/safety of others,1689,2514,131,4334,0,2,0,1,40,27,181,10,259,868,1469,2337,2598,0,1,1736,90,40.1
26,Other Grievous Hurt,790,1022,0,1812,0,0,0,0,13,12,115,13,153,100,593,693,846,0,0,966,81.9,53.3
27,Wrongful Restraint/Confinement,6251,19061,8,25320,0,4,0,21,5431,495,1806,22,7775,2653,8604,11257,19036,3,1,6281,59.1,24.8
28,Assault on Women with Intent to Outrage her Modesty,18182,48037,10,66229,0,24,0,152,3830,1391,1850,104,7327,10782,30287,41069,48420,17,25,17792,84.8,26.9
29,at Work or Office Premises,243,485,0,728,0,0,0,6,30,7,49,0,92,115,304,419,511,3,4,214,82,29.4
30,In Public Transport System,220,375,0,595,0,1,0,1,15,7,17,1,41,110,251,361,403,1,0,191,89.6,32.1
31,In Shelter Homes for women and Children,256,407,0,663,0,0,0,2,22,4,7,0,35,75,286,361,396,2,0,265,91.2,40
32,Other Places,6516,15736,0,22252,0,5,1,42,951,363,792,31,2179,3652,10172,13824,16008,11,3,6232,86.4,28
33,Assault or use of Criminal Force on women with intent to Disrobe,4618,10580,0,15198,0,2,0,38,558,352,693,7,1648,2779,6530,9309,10959,2,2,4237,84.9,27.9
34,Voyeurism,729,1260,0,1989,0,0,0,2,51,30,63,17,163,319,720,1039,1202,1,1,786,86.4,39.5
35,Stalking,4530,8512,4,13046,0,6,0,10,364,163,377,27,941,2194,5034,7228,8175,1,4,4870,88.4,37.3
36,Missing Children Deemed as Kidnapped,14917,21248,3,36168,0,16,7,75,4468,10425,2712,127,17807,1293,2874,4167,21990,17,0,14154,18.9,39.1
37,Other Kidnapping & Abduction,20819,23779,4,44602,0,18,4,130,2642,8663,4345,108,15888,3094,5852,8946,24852,37,6,19709,36,44.2
38,Kidnapping and Abduction for the Purpose of Begging,34,44,0,78,0,0,0,0,3,1,14,5,23,5,8,13,36,0,0,42,36.1,53.8
39,Kidnapping and Abduction in order to Murder,688,472,0,1160,1,2,0,1,33,29,202,0,265,133,141,274,542,0,0,618,50.6,53.3
40,Kidnapping for Ransom,566,485,1,1052,0,4,1,0,26,30,72,0,128,105,231,336,468,1,2,582,71.8,55.3
41,Kidnapping and Abduction of Women to compel her for marriage,22039,24745,11,46795,0,3,1,139,3109,4301,5006,48,12603,4167,7701,11868,24474,7,29,22313,48.5,47.7
42,Procuration of Minor Girls,2881,2471,1,5353,0,1,0,0,627,277,327,9,1240,478,703,1181,2422,0,0,2931,48.8,54.8
43,Importation of Girls from Foreign Country,11,1,0,12,0,0,0,0,0,4,0,0,4,4,0,4,8,0,0,4,50,33.3
44,Other Kidnapping & Abduction,9568,11560,10,21138,0,5,1,3,1882,2593,1323,70,5871,1756,3536,5292,11168,13,3,9956,47.4,47.1
45,Human Trafficking,1233,947,2,2182,0,3,0,0,16,60,54,7,137,525,480,1005,1145,0,0,1037,87.8,47.5
46,Exploitation of Trafficked Person,159,130,0,289,0,0,0,0,2,3,2,0,7,29,49,78,85,0,0,204,91.8,70.6
47,Selling of Minors for Prostitution,82,14,0,96,0,0,0,0,1,1,5,0,7,8,6,14,21,0,0,75,66.7,78.1
48,Buying of Minors for Prostitution,27,1,0,28,0,0,0,0,0,2,0,0,2,6,1,7,9,0,0,19,77.8,67.9
49,Rape,15097,28046,53,43196,0,100,2,48,3375,571,987,34,5015,7161,16532,23693,28808,38,34,14348,82.2,33.2
50,Attempt to Commit Rape,1796,3741,1,5538,0,3,0,6,631,90,212,6,945,816,1980,2796,3744,0,2,1794,74.7,32.4
51,Unnatural Offences,495,826,0,1321,0,0,0,1,64,11,52,1,129,244,526,770,899,2,0,420,85.7,31.8
52,Sedition,157,73,0,230,0,1,0,0,1,5,10,0,16,9,14,23,40,1,0,189,57.5,82.2
53,Others,507,99,0,606,0,1,0,0,1,0,16,0,17,32,6,38,56,0,0,550,67.9,90.8
54,Unlawful Assembly,6205,12220,4,18429,0,0,1,29,638,347,451,4,1469,1663,7096,8759,10228,8,1,8192,85.6,44.5
55,Communal/Religious,448,857,0,1305,0,0,4,0,12,14,27,2,55,151,341,492,547,1,0,753,89.9,57.7
56,Sectarian,167,167,0,334,0,0,0,0,3,11,18,0,32,20,58,78,110,0,0,224,70.9,67.1
57,Industrial,86,192,0,278,0,0,0,0,13,4,17,0,34,43,117,160,194,0,0,84,82.5,30.2
58,Political,800,1032,0,1832,0,0,2,1,16,11,71,1,100,289,402,691,791,1,0,1038,87.4,56.7
59,Caste Conflict,456,736,0,1192,0,0,0,0,33,16,25,0,74,170,491,661,735,2,4,455,89.9,38.2
60,Agrarian,1283,2188,0,3471,0,0,0,23,50,162,30,0,265,511,1079,1590,1855,0,5,1616,85.7,46.6
61,Students,274,233,0,507,0,0,0,0,16,2,18,0,36,116,127,243,279,1,0,227,87.1,44.8
62,Money Dispute,576,1032,0,1608,0,0,0,4,36,12,11,2,65,264,563,827,892,2,3,714,92.7,44.4
63,Water Dispute,445,807,0,1252,0,0,0,2,7,5,1,0,15,176,480,656,671,1,1,580,97.8,46.3
64,Land/Property Dispute,6058,10652,0,16710,0,0,15,73,484,504,343,3,1407,2510,5086,7596,9003,4,7,7688,84.4,46
65,Family Disputes,2136,5063,1,7200,0,0,0,30,203,96,109,4,442,1229,2965,4194,4636,0,1,2564,90.5,35.6
66,Enmity/Rivalry,2615,4338,1,6954,0,3,0,6,157,52,96,2,313,1265,2606,3871,4187,3,3,2764,92.5,39.7
67,Electricity/Power Supply Disputes,23,22,0,45,0,0,0,0,0,0,1,0,1,8,16,24,25,0,0,20,96,44.4
68,Rioting while in Aandolan/Morcha,606,1905,0,2511,0,6,0,0,17,15,34,0,66,243,1621,1864,1936,2,1,573,96.3,22.8
69,Rioting/Attacks on Police Personnel or Govt Servants,1646,616,5,2267,0,0,0,0,0,3,56,0,59,274,311,585,644,0,0,1623,90.8,71.6
70,Other Riots,12604,21766,10,34380,0,14,4,178,505,368,1156,31,2238,6226,13305,19531,21783,30,18,12563,89.7,36.5
71,Promoting enmity between groups,1217,1804,5,3026,0,5,2,0,37,81,170,4,292,292,486,778,1075,5,1,1944,72.4,64.2
72,"Imputation, assertions prejudicial to national integration",38,82,0,120,0,0,0,0,3,2,4,0,9,10,23,33,42,0,1,78,78.6,65
73,Affray,1866,5395,0,7261,0,0,0,0,7,10,5,9,31,1607,3900,5507,5538,0,7,1723,99.4,23.7
74,Auto/Motor Vehicle Theft,82057,194797,218,277072,8,63,1,405,1997,8895,130347,261,141905,14893,32175,47068,189044,42,22,87985,24.9,31.8
75,Other Thefts,148287,298375,855,447517,56,512,4,167,2934,35527,202416,245,241289,25547,51123,76670,318527,318,15,128668,24.1,28.8
76,Day Time,9434,10499,54,19987,0,0,1,0,174,261,6116,119,6670,1933,2975,4908,11578,4,0,8404,42.4,42
77,Night,47837,75724,88,123649,7,5,1,92,1331,2033,42990,217,46663,9550,20334,29884,76559,5,11,47084,39,38.1
78,Extortion & Blackmailing,7327,9722,0,17049,0,3,2,23,601,540,1187,38,2389,2349,4322,6671,9063,19,6,7965,73.6,46.7
79,Robbery,20781,24107,101,44989,0,22,5,53,549,433,6350,69,7454,5920,10250,16170,23646,15,12,21323,68.4,47.4
80,Attempt to Commit Dacoity/Robbery,287,508,0,795,0,1,0,0,12,4,73,1,90,106,288,394,485,0,0,310,81.2,39
81,Dacoity,3280,2558,10,5848,1,4,0,22,115,82,524,6,749,888,1173,2061,2815,8,10,3025,73.2,51.7
82,Dacoity with Murder,26,15,2,43,0,0,0,0,0,1,0,0,1,5,9,14,15,0,0,28,93.3,65.1
83,Making Preparation and Assembly for committing Dacoity,1704,3098,0,4802,0,1,0,0,1,6,20,0,27,1023,2129,3152,3180,1,1,1621,99.1,33.8
84,Criminal Misappropriation,237,339,0,576,0,0,0,0,22,47,103,6,178,130,137,267,445,0,0,131,60,22.7
85,Criminal Breach of Trust,23513,17358,26,40897,0,30,2,54,861,1047,3504,47,5513,5529,5281,10810,16353,23,37,24519,66.1,60
86,Dishonestly Receiving/Dealing-in Stolen Property,2027,6483,0,8510,0,16,0,6,24,53,203,1,287,1050,4841,5891,6194,0,0,2316,95.1,27.2
87,Counterfeit Coin,774,12,0,786,0,0,0,0,0,0,3,0,3,4,4,8,11,0,0,775,72.7,98.6
88,Counterfeiting Government Stamp,5,1,0,6,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,0,83.3
89,Counterfeiting of Seal or Mark,15,22,0,37,0,0,0,0,0,0,0,0,0,0,21,21,21,0,0,16,100,43.2
90,Counterfeit Currency & Bank notes,1595,637,1,2233,0,1,0,0,0,12,149,1,162,236,310,546,709,0,1,1524,77,68.2
91,Bank,2915,3864,1,6780,0,13,0,0,85,44,1810,8,1947,297,328,625,2585,1,1,4194,24.2,61.9
92,ATMs,3422,2957,0,6379,0,1,0,0,179,285,1507,3,1974,332,558,890,2865,0,1,3514,31.1,55.1
93,Credit Card/Debit Card,2069,2870,0,4939,0,2,0,0,84,111,1115,1,1311,153,350,503,1816,0,0,3123,27.7,63.2
94,Other Frauds,16546,15262,6,31814,0,21,2,12,1081,1587,3478,8,6166,3196,2269,5465,11652,5,24,20155,46.9,63.4
95,Other Cheating,116657,90241,161,207059,2,259,9,108,7540,9515,19472,218,36853,24443,17920,42363,79477,141,222,127432,53.3,61.5
96,Other Forgery,15284,12530,7,27821,0,28,2,101,1455,1411,2095,11,5073,3872,3264,7136,12237,21,32,15561,58.3,55.9
97,Offences relating to Elections,1156,658,0,1814,0,3,0,1,28,67,66,0,162,518,311,829,994,1,1,819,83.4,45.1
98,Disobedience to order duly promulgated by Public Servant,9292,612179,0,621471,0,5,2,9,456,589,1829,71,2954,6127,476170,482297,485256,11,5,136202,99.4,21.9
99,Harbouring an Offender,36,164,0,200,0,0,0,1,2,1,2,0,6,19,108,127,133,0,0,67,95.5,33.5
