ID,Crime Head,Cases Pending Investigation From Previous Year,Cases Reported During The Year,Cases Reopened For Investigation,Total Cases For Investigation,Cases Not Investigated Under 157_1_B Crpc,Cases Transferred To Other State Or Agency,Cases Withdrawn By The Govt During Investigation,Final Report - Cases Ended As Fr Non Cognizable,Final Report - Cases Ended As Final Report False,Final Report - Cases Ended As Mistake Of Fact Or Of Law Or Civil Dispute,Final Report - Cases True But Insufficient Evidence Or Untraced Or No Clue,Final Report - Cases Abated During Investigation,Final Report,Charge Sheets Submitted Prev. Year,Charge Sheets Submitted The Year,Charge Sheets Submitted - Cases Charge Sheeted,Total Cases Disposed Off By Police,Cases Quashed At Investigation Stage,Cases Stayed At Investigation Stage,Cases Pending Invsgn.At End Of The Year,Chargesheeting Rate,Pendency Percentage
100,Offences relating to Adulteration or Sale of Food/Drugs,1164,5165,1,6330,0,8,0,1,3,28,11,1,44,679,3164,3843,3895,54,993,2381,98.7,37.6
101,Rash Driving on Public Way,12299,96610,338,109247,0,2,0,11,171,372,3636,49,4239,8417,85588,94005,98246,5,131,10996,95.7,10.1
102,Causing Hurt by Rash/Negligent Driving on Public Way,59274,130247,1,189522,3,7,0,200,1402,2477,11211,241,15531,28783,79857,108640,124181,2,1,65339,87.5,34.5
103,Causing Grievous Hurt by Rash/Negligent Driving on Public,33203,85920,10,119133,3,14,1,84,588,967,7769,156,9564,18117,59887,78004,87585,4,10,31543,89.1,26.5
104,Obstruction on Public way,5635,54952,0,60587,0,1,0,3,21,77,171,11,283,4551,50968,55519,55803,0,5,4784,99.5,7.9
105,Sale of obscene Books/Objects,133,102,0,235,0,0,0,0,13,8,14,0,35,17,32,49,84,0,0,151,58.3,64.3
106,Obscene Acts and Songs at Public Places,4317,26485,0,30802,0,1,0,38,130,309,276,8,761,2252,22882,25134,25896,0,0,4906,97.1,15.9
107,Offences relating to Religion,1393,1749,0,3142,0,2,0,3,97,60,317,1,478,360,649,1009,1489,4,2,1649,67.8,52.5
108,Cheating by Impersonation,697,585,1,1283,0,0,0,2,7,15,119,0,143,115,140,255,398,0,0,885,64.1,69
109,Offences related to Mischief,1188,2796,0,3984,0,0,3,0,105,142,316,19,582,381,1384,1765,2347,2,0,1632,75.2,41
110,Arson,6564,7615,3,14182,2,1,0,2,283,344,2307,38,2974,1374,2953,4327,7304,9,2,6869,59.2,48.4
111,Criminal Trespass,14482,40818,14,55314,2,7,0,70,3190,1521,2392,41,7214,6608,24145,30753,37976,30,55,17308,81,31.3
112,Cruelty by Husband or his Relatives,55499,111549,19,167067,1,143,3,122,5520,4832,5489,188,16151,29367,66786,96153,112448,174,99,54442,85.5,32.6
113,Circulate False/Fake News/Rumours,313,1527,0,1840,0,1,0,4,39,28,90,0,161,94,579,673,835,1,5,1004,80.6,54.6
114,Criminal Intimidation,19329,115297,5,134631,0,13,1,30,2148,1905,7475,521,12079,12057,86886,98943,111035,54,83,23541,89.1,17.5
115,Insult to the Modesty of Women,4489,7065,9,11563,0,1,0,5,314,134,306,18,777,1815,3784,5599,6377,1,5,5185,87.8,44.8
116,Other IPC crimes,110624,1062399,27,1173050,0,97,3,383,17950,12553,28459,3406,62751,38472,358128,396600,459448,66,123,713533,86.3,60.8
